token,symbol,cap_usd,vol24_usd,liq_usd,buyers24,chg24_pct,age_days,dex,created
0xaff734dc0deefee54b5d28257e0305bf6544b8fa,TOFU,61997,553598,25415,821,1843.0,2026-08-23,hyperswap-v3,2026-08-23T08:10:00Z
0x372c8909caebb63238c4e79aec6bae054f61d9d9,KORILA,43275,723459,20820,716,1208.7,2026-08-23,hyperswap-v3,2026-08-23T11:39:00Z
0x6a42e8f95b583fae7d4537b2fec26d418adaa3f9,EARNY,202266,362272,50281,640,6247.9,2026-08-23,hyperswap-v3,2026-08-23T04:56:00Z
0xfaa6f5cf2b1b2ff011019dc7fd575901cc9d3a85,bugcat,32142,295311,17018,544,873.0,2026-08-23,hyperswap-v3,2026-08-23T12:43:00Z
0x42d17add4dc9e52bbcc616a513e57dde015d732f,HCAT,37583,242111,21033,537,779.9,2026-08-23,hyperswap-v3,2026-08-23T16:41:00Z
0xa0dfe07e7b4b1a8d1e351e02616ef6ba207b306d,CHICKEN,33076,225434,17388,498,934.8,2026-08-23,hyperswap-v3,2026-08-23T06:05:00Z
0xe3082c6156b55b230858b21901a8c7f2f6662637,shitcoin,38896,179128,19313,470,1108.0,2026-08-23,hyperswap-v3,2026-08-23T07:13:00Z
0x07f7f9af7522c1f7d478f803c1d6280077edbbe9,SHART,28022,198065,16954,404,770.2,2026-08-23,hyperswap-v3,2026-08-23T06:56:00Z
0x4695078dce0bd82932e255524cb04dba7eeb251c,QUINCY,52918,236211,22978,388,1514.9,2026-08-23,hyperswap-v3,2026-08-23T17:54:00Z
0x3155faaf0e4453229c3dcb3c70fdbf78113219fb,TESTICLES,65868,138054,26201,365,1920.8,2026-08-23,hyperswap-v3,2026-08-23T11:08:00Z
0x176bb7651aa418cd274929decb76d9f1126c3ff0,.hl,93077,166731,32367,352,2696.9,2026-08-23,hyperswap-v3,2026-08-23T13:08:00Z
0xa1b879efe3352f00b4a656277ba938f5f56faed9,天外有天,22962,140175,13939,326,600.0,2026-08-23,hyperswap-v3,2026-08-23T17:55:00Z
0xef3032b04f795f21b4dd3cda5af9423b1d795ad7,HYPSTR,271160,281189,51209,322,2309.2,2026-08-23,project-x,2026-08-23T19:17:00Z
0x7c4331685cc44b044301824f2fe49536477cf5e3,HPOS,14952,117293,11222,320,359.9,2026-08-23,hyperswap-v3,2026-08-23T08:54:00Z
0xd43ade7fe54d0fb313b5c5be8f2efe2ea77e2e6c,SMIRK,32208,165153,17021,314,909.2,2026-08-23,hyperswap-v3,2026-08-23T11:06:00Z
0xc513b1f1c8d5adc31b573dca19ee9232084b44c6,HL,21428,112088,13207,304,562.7,2026-08-23,hyperswap-v3,2026-08-23T07:37:00Z
0x67d2d0f2557d269a14d64bf751fa42826c1bac1f,HYPEFUN,9964,141601,10044,298,22.4,2026-08-23,hyperswap-v3,2026-08-23T12:19:00Z
0x2b9aeddb59249226a794d56be327d84cd0397a09,ZUCINI,19986,148381,12518,288,506.4,2026-08-23,hyperswap-v3,2026-08-23T14:17:00Z
0xf4db0b4bbc24aaf099b5127ffa026c686c6d1419,HLC,18659,113546,12325,284,468.1,2026-08-23,hyperswap-v3,2026-08-23T13:45:00Z
0xffed4dc525734ea60ce0c95efa4895ce28cb45a3,JEFE,14828,104980,10775,282,361.5,2026-08-23,hyperswap-v3,2026-08-23T15:04:00Z
0x4e3eb26ede9acb9149c2f496f4972b1ddc3cd781,BLOB,13385,129327,9943,274,309.5,2026-08-23,hyperswap-v3,2026-08-23T18:21:00Z
0x4db5e8c039fb86a736c1b67e3a765c034448e34c,brypto,11714,84067,8975,253,260.0,2026-08-23,hyperswap-v3,2026-08-23T15:17:00Z
0x1486db7d3964d10039265893118cbd7ccee0ccef,If,10590,61256,8499,241,223.9,2026-08-23,hyperswap-v3,2026-08-23T11:42:00Z
0xd4bdd80de0bd13be9cbeefa9ffe458b95d256fed,HPAD,5047,116337,5162,235,54.8,2026-08-23,project-x,2026-08-23T04:23:00Z
0x3185e6f1a3c79b2e92983f963126e93cbfd88330,KAOMOJI,9080,81462,7675,222,178.7,2026-08-23,hyperswap-v3,2026-08-23T15:01:00Z
0x29eb8e4164f11f687955ae6c2250bb8d076019ef,JOHN,6414,70746,5932,211,95.5,2026-08-23,hyperswap-v3,2026-08-23T13:33:00Z
0x080e18b26921765dce33319ec9c454761ef0082b,titcoin,14031,61759,10218,210,321.9,2026-08-23,hyperswap-v3,2026-08-23T11:55:00Z
0x9d3d92ebf55fde9b2eaeecbfffc37b44c4d984ce,BASEMENT,19725,81564,12838,209,519.8,2026-08-23,hyperswap-v3,2026-08-23T06:22:00Z
0x9ec520d960ee089aee3d65f40f8e105bec184d29,顶流,16445,66439,11477,207,404.3,2026-08-23,hyperswap-v3,2026-08-23T15:37:00Z
0x31399a216901780b425972e48dd81f2502a8a8f5,SUPREME,20821,62896,13394,198,534.8,2026-08-23,hyperswap-v3,2026-08-23T11:28:00Z
0x61e974d1780cd561fd351088bbcf62e7549feae4,@8,7718,62684,7052,196,134.7,2026-08-23,hyperswap-v3,2026-08-23T12:10:00Z
0xde98548352097e88232eebca4aa34d6e76f5a776,IFM,30561,55640,16593,191,855.6,2026-08-23,hyperswap-v3,2026-08-23T05:08:00Z
0x67e3585cca7061acd7f5d399048a0286a0601b91,EGGCAT,17446,48578,11600,185,448.1,2026-08-23,hyperswap-v3,2026-08-23T06:33:00Z
0x95ce587212e73934eb981f102500acd2d713e719,gmeow,26194,67396,16288,183,722.5,2026-08-23,hyperswap-v3,2026-08-23T08:33:00Z
0x7b288f3c9580af8e5b2a3c40e789f9fa8325b343,HYPEFUN,9057,103796,9165,181,9.8,2026-08-23,hyperswap-v3,2026-08-23T12:32:00Z
0x944f8fd0336225d4bd9817cb86d3aae3eec78fb1,ANDREW,10585,50795,8520,181,219.4,2026-08-23,hyperswap-v3,2026-08-23T12:33:00Z
0x2a731cea43024344dc3de0dd7a3fdcad2a23d4a5,CAT,20365,58836,13239,163,526.6,2026-08-23,hyperswap-v3,2026-08-23T08:07:00Z
