rank,wallet,hl_realized_pnl_usd,winrate,active_days,fills,fills_per_day,avg_fill_usd,spot_pct,quality_score,tags,cross_chain
1,0x218a65e21eddeece7a9df38c6bbdd89f692b7da2,4637996,0.854,100,14447,144,7901,0,4257,HL-tagged,
2,0xfce053a5e461683454bf37ad66d20344c0e3f4c0,4704588,0.611,101,8866,88,6249,4,4202,PM-owner HL-tagged individual,
3,0xdfe5195e7cc1a2eca9b0df09d4646472a8c4a402,2615933,0.925,93,8399,90,13469,0,3824,,
4,0xb581d667c53fd8a50bf7ffd817be0e62daa16f4f,2759549,0.685,104,18967,182,7058,0,2902,HL-tagged,
5,0x960b6c2c4b1498681b8422eb572a8b3a6aa3f0fc,2286979,0.808,96,16672,174,10890,19,2896,HL-tagged,
6,0xb798aef79972ce8f73d47b9ebbcda6bbb7ec4fbf,2091112,0.842,79,8130,103,7410,15,2746,PM-owner HL-tagged individual,yes
7,0x51f3a19c1dfd8d7fe670e43ce0f66648789c8b34,1030185,0.875,97,8900,92,4643,32,2395,,
8,0x4cd80aa0ce4881eb8679eda1f6fbe3d89aec0f7f,1870772,0.672,99,16248,164,3708,0,2367,PM-owner HL-tagged individual,yes
9,0x0514f2f3e0277c47117e3f33d9390efb0acfbdfe,1274933,0.872,100,13894,139,1603,0,2261,,
10,0xcf90cfecf74e631feea816d02e757c0c8e895c0e,5180397,0.89,57,12013,211,25030,0,2255,HL-tagged,
11,0x2a934d40944e2b686ee9cdce74a3f67d32cd0347,751480,0.925,98,4220,43,1364,0,2115,HL-tagged,
12,0xf62edeee17968d4c55d1c74936d2110333342f30,1704530,0.816,102,25322,248,350,0,2071,HL-tagged,
13,0xb69eec8fea0081343c3b09e652ba1fa7dcf7033a,2141084,0.67,95,23862,251,5311,0,2059,HL-tagged,
14,0xf899937184168b1d9dee75acbaa3fef0f52888db,800212,0.738,97,10743,111,974,0,1915,HL-tagged,
15,0x6bea81d7a0c5939a5ce5552e125ab57216cc597f,987541,0.581,103,11607,113,1664,0,1878,,
16,0xd05d2e015b9ed6f17f2111cf1ac7ae229155816e,924637,0.913,91,11533,127,7886,2,1875,,
17,0x3b11267dfc4b9ebe8427e8f557056b4b6ce98112,1045920,0.867,64,4779,75,14961,0,1601,,
18,0x6daec5ff434924e0839358e710e6ae5f158590de,1146536,0.727,101,28061,278,5475,0,1591,,
19,0x5e0c78f6360514ac1d4ea4ab9a2a232284458e69,886945,0.898,107,25055,234,3899,0,1580,HL-tagged,
20,0x1ce8ed87b7b4cb60f0cc3664bf1fe216163ff55a,1363531,0.815,77,15655,203,1041,0,1485,,
21,0x63c786a8d291440713d0f1fc45b69c3e7547cb78,735582,0.652,99,15084,152,1228,0,1461,HL-tagged,
22,0x84a1c22eb2d4c19bbdcfcf2bfe975e28094d8673,368465,0.89,100,4642,46,1415,0,1447,,
23,0xaa2a33c424b92cdc042e40c522cb48e586e83026,692414,0.666,98,14358,147,152,16,1433,,
24,0xd9f7e56fb5e1824b6bc43d93dcd30586b990e95e,468638,0.703,97,9884,102,2921,0,1428,,
25,0xf4fb9fa23edb32215e5284cf7dbfdb5607d51a5b,338571,0.88,100,8056,81,143,51,1378,,
26,0x77746ff04a7014752ab12d81d531aa5e50775343,634415,0.806,73,6126,84,5831,7,1363,,
27,0x202ed102cca91d1237971252eee1add2f303eb8b,462859,0.9,79,2616,33,3209,23,1344,,
28,0x9a3bf39506de3fd281cebbab9dd52fbab37e696a,304600,0.902,98,10058,103,140,0,1326,,
29,0x9bb933d7fe63c0bbfdd92f9596ed47e25e7877a1,3634335,0.842,41,11193,273,4764,35,1315,HL-tagged,
30,0x8e096995c3e4a3f0bc5b3ea1cba94de2aa4d70c9,737180,0.745,99,29267,296,1133,0,1293,HL-tagged,
31,0x77998579f578c01030db65e75edc47bfe890c291,509190,0.862,86,11684,136,14538,0,1271,HL-tagged,
32,0xbafae6afa1f7b0001860f627354130c859031b76,489856,0.777,79,5586,71,1756,5,1269,,
33,0x11615843a09fa765d98ebf3eb15690450ef7e60a,283554,0.914,94,4466,48,3995,5,1263,,
34,0x6e88dc3708afc2b0032eeff625df78dcde1e741a,274687,0.889,98,9880,101,861,1,1249,,
35,0x5272f37ecaa073e5a0ea07618145939e5e6cfcd9,422444,0.578,100,11108,111,1587,59,1225,,
36,0x913df0b299f74ced052c5332a19a1fe72a343ad6,276800,0.845,97,10838,112,431,0,1217,,
37,0x88696c4985f64ea1ebfb9e46c1b47197f7a244ab,371309,0.715,88,4553,52,1963,0,1175,,
38,0xb6ca5d1ed0ca4bf8444c9dee2d068a9f4c5e2e92,527796,0.827,98,24810,253,2723,0,1161,,
39,0x6bf7adc30d071f426193a56dad0947176fac84ba,317502,0.898,101,20165,200,5915,2,1148,,
40,0x999510ad3dd8c94a6659d6401d983137565283e3,1212630,0.764,53,8703,164,3974,28,1128,,
41,0xbbfd8f29f9c7f7119858d9ec7f4bb896182b7d69,741981,0.625,91,25501,280,1785,2,1120,,
