wallet_address,wallet_entity_type,wallet_entity_name,wallet_label,social_keys,twitter
0x960b6c2c4b1498681b8422eb572a8b3a6aa3f0fc,,,Hyperliquid Trader,,
0x9bb933d7fe63c0bbfdd92f9596ed47e25e7877a1,,,Hyperliquid Trader,,
0x9bbb821a51d9c0ef24dd8592e9caad7fc469bbf2,,,Hyperliquid Trader,,
0x2a934d40944e2b686ee9cdce74a3f67d32cd0347,,,Hyperliquid Trader,,
0x468fe3f0e20b0bf463083a4054687cddc71a9186,individual,,polymarket-owner-eoa+Hyperliquid Trader,,
0xa4beb4fbe651b00bc16d472e2e1aa1c26b3d90aa,,,Hyperliquid Trader,twitter,jvpmamede
0x8e096995c3e4a3f0bc5b3ea1cba94de2aa4d70c9,,,Hyperliquid Trader,,
0x6a572bb9d31ff710f882f33c21d8ba11a169a887,individual,,polymarket-owner-eoa+Hyperliquid Trader,,
0x833b99b27dac651d02080f5e220e929df891db06,individual,,polymarket-owner-eoa+Hyperliquid Trader,,
0x838d8e13ec1010e7851b3dc333699db885f2520c,,,Hyperliquid Trader,,
0x63c786a8d291440713d0f1fc45b69c3e7547cb78,,,Hyperliquid Trader,,
0xbe4e91ae63090eeb4165dfcfc35db3a4eb76e75e,,,polymarket-owner-eoa+Hyperliquid Trader,,
0x1f67d79afc8d0e7609ddba6c9b657cc635f69981,,,Hyperliquid Trader,,
0x135097a80cc35350acc31f4c0f04bfde52a58f6a,,,Hyperliquid Trader,,
0x4f82e73edb06d29ff62c91ec8f5ff06571bdeb29,,,Hyperliquid Trader,,
0x40f20b734d7d25ba0b6219e921382fa992a56a9e,individual,,polymarket-owner-eoa+Hyperliquid Trader,,
0xfce053a5e461683454bf37ad66d20344c0e3f4c0,individual,,polymarket-owner-eoa+Hyperliquid Trader,,
0x866d4903b256ce7e7caac46a91e83128bb0fd6e1,,,Hyperliquid Trader,,
0x873e1c729a12658e4e3f39e927687e424967ccbf,,,Hyperliquid Trader,,
0xb69eec8fea0081343c3b09e652ba1fa7dcf7033a,,,Hyperliquid Trader,,
0xa243ecc646b1ce99c8c2810b6581cce76ec6f989,,,Hyperliquid Trader,,
0x525232cb6ed5030d2b052b36bfc0baec96986ee3,,,Hyperliquid Trader,,
0x59629e23c52a0d7c092436870ef2db1dc382ddf8,,,Hyperliquid Trader,twitter,0xjakee
0x77998579f578c01030db65e75edc47bfe890c291,,,Hyperliquid Trader,,
0x782b3978d7148a1c6fbfae1bfd6e1079d15d8b2a,,,Hyperliquid Trader,,
0x13c50dcdee4bbcba71baf578b345cdd35c7928be,,,Hyperliquid Trader,,
0x404ca2035b37bf2e83505134ebcf8d03babb5f03,,,Hyperliquid Trader,,
0x6f97d329b072e0f7b74575565d806a4351b8f824,,,Hyperliquid Trader,,
0x218a65e21eddeece7a9df38c6bbdd89f692b7da2,,,Hyperliquid Trader,,
0x3dd462347e7b42b5a3ea15132b677a4978af7a81,,,Hyperliquid Trader,,
0x8c96e5a2d770f9f2c9d2464ce4e741df0b2bca57,,,Hyperliquid Trader,,
0x071d9fe61ce306aef04b7889780f889f444d7bf7,,,Hyperliquid Trader,twitter,mehranhydary
0x06bc596fb16734f7abc3a5996b580be932c2fb72,,,Hyperliquid Trader,,
0x11eee2e0a613af4f636e23ff295e2dac6a191d1d,,,Hyperliquid Trader,,
0x66f889094739dbb7d20aa60f645acd88feba75a9,,,Hyperliquid Trader,,
0x2c5dc7e67fce4bc252221c46c1cdc7651838b2d8,,,Hyperliquid Trader,,
0xf62edeee17968d4c55d1c74936d2110333342f30,,,Hyperliquid Trader,,
0xead5b7d86c681c036c59cd00a0390541061c69f2,,,polymarket-owner-eoa+Hyperliquid Trader,,
0x4196dc4a1dc7d3bfd5434adf04c829f4ccaf480d,,,Hyperliquid Trader,,
0x4cd80aa0ce4881eb8679eda1f6fbe3d89aec0f7f,individual,,polymarket-owner-eoa+Hyperliquid Trader,,
0x17a4ce9320bec0ac79420f0af19848044a469d8d,,,Hyperliquid Trader,,
0x103e9d15f8a102ef9333ad8b66ffe25b0db448a4,,,Hyperliquid Trader,,
0x5e8e18557c0df89fb79a41941c03768da69100af,,,Hyperliquid Trader,,
0x4b4bdd734b87bc48683d24f1dc6159e3ab6d6409,,,Hyperliquid Trader,,
0xa399f378380dddb1fbb72e935b0111d7a4d16a52,,,Hyperliquid Trader,,
0x5e0c78f6360514ac1d4ea4ab9a2a232284458e69,,,Hyperliquid Trader,,
0x90882e7c28ddf0ac1177033a310aeed8eff25e90,,,Hyperliquid Trader,,
0x675462411d40a169c3397ac1dc00786dc9c7d3a1,individual,,polymarket-owner-eoa+Hyperliquid Trader,,
0xb581d667c53fd8a50bf7ffd817be0e62daa16f4f,,,Hyperliquid Trader,,
0xf0ae4d359f07fb630a5bcb197ac3beaba4cc2f74,,,Hyperliquid Trader,,
0xb798aef79972ce8f73d47b9ebbcda6bbb7ec4fbf,individual,,polymarket-owner-eoa+Hyperliquid Trader,,
0x70b37757f0344b28ef207d86eada7ca051138153,,,Hyperliquid Trader,,
0xb5e7dee094dae809f2775caf07c4d4fde863eff1,,,Hyperliquid Trader,,
0xcf90cfecf74e631feea816d02e757c0c8e895c0e,,,Hyperliquid Trader,,
0xca9d6973a2375f8269c50c113ce57d61d4e5180c,hacker,Lazarus Group,Hyperliquid Trader,,EXCLUDE-HACKER
0x66799bc69d7a7daaf50b6aa03cd5c6a2df1a9454,,,Hyperliquid Trader,,
0x341892ca9af16ff90c91bb4a119655dfffb0e5d3,,,Hyperliquid Trader,,
0x34d7b1c11bebf407af7f67f08249a174d1316a6a,individual,,polymarket-owner-eoa+Hyperliquid Trader,,
0xb885ed57cd16985f347d26f13a79dc4abd2e3c54,,,Hyperliquid Trader,,
0x2cef0a7f84e722c77b271862da5fe2387028fa20,,,Hyperliquid Trader,,
0x9237794d8e5c6eb247b20f2e5edd9ad5f530d8ec,,,Hyperliquid Trader,,
0x938fcf34101e3ff5977ced8e50481be6f0bb13b0,,,Hyperliquid Trader,,
0xd65ac35cd234c8718b876ab304fa56c8995e387f,,,Hyperliquid Trader,,
0x71dfc07de32c2ebf1c4801f4b1c9e40b76d4a23d,,,Hyperliquid Trader,,
0xd25a100d719f024d183d8b49d25cabf668ac4a41,,,Hyperliquid Trader,,
0x711281c1b26aaed86e40e4caaf76c1962b45e161,,,Hyperliquid Trader,,
0xf899937184168b1d9dee75acbaa3fef0f52888db,,,Hyperliquid Trader,,
0xd487e26c62ed8c28ce3cc70b5791e501c2934982,,,Hyperliquid Trader,,
0xfa0f450d61acd11bc0f6a986260fc25c1758ccb9,,,Hyperliquid Trader,,
0xdeb0b9c1e1b234981c4731ea927c464449c1ade2,,,Hyperliquid Trader,,
0xda0950da3882ef1ae1e41e99ebe31e6b3324c17f,,,Hyperliquid Trader,,
0xda744273f80b22412417f7cfe0503f3d721f987d,,,Hyperliquid Trader,,
0xe5ddb76c071ab59b96e97a839a941d02fa99ecba,,,Hyperliquid Trader,,
