rank,wallet,edge_type,cluster,hl_core_pnl_usd,hl_winrate,hl_active_days,evm_early_survivors,evm_early_n,evm_held_usd,tags,twitter,cross_chain,confidence,evidence,action
1,0xcf90cfecf74e631feea816d02e757c0c8e895c0e,COPY_FIT,,5180397,0.89,57,,,,HL-tagged,,,0.6,"HL Core realized $5,180,397, winrate 0.89, 57/108 active days, 211 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
2,0xfce053a5e461683454bf37ad66d20344c0e3f4c0,COPY_FIT,,4704588,0.61,101,,,,PM-owner HL-tagged individual,,,0.7,"HL Core realized $4,704,588, winrate 0.61, 101/108 active days, 88 fills/day, 4% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
3,0x218a65e21eddeece7a9df38c6bbdd89f692b7da2,COPY_FIT,,4637996,0.85,100,,,,HL-tagged,,,0.6,"HL Core realized $4,637,996, winrate 0.85, 100/108 active days, 144 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
4,0xda744273f80b22412417f7cfe0503f3d721f987d,COPY_FIT,,4089363,0.92,94,,,,HL-tagged,,,0.6,"HL Core realized $4,089,363, winrate 0.92, 94/108 active days, 301 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
5,0x9bb933d7fe63c0bbfdd92f9596ed47e25e7877a1,COPY_FIT,,3634335,0.84,41,,,,HL-tagged,,,0.6,"HL Core realized $3,634,335, winrate 0.84, 41/108 active days, 273 fills/day, 35% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
6,0xb581d667c53fd8a50bf7ffd817be0e62daa16f4f,COPY_FIT,,2759549,0.68,104,,,,HL-tagged,,,0.6,"HL Core realized $2,759,549, winrate 0.68, 104/108 active days, 182 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
7,0xdfe5195e7cc1a2eca9b0df09d4646472a8c4a402,COPY_FIT,,2615933,0.93,93,,,,,,,0.6,"HL Core realized $2,615,933, winrate 0.93, 93/108 active days, 90 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
8,0x960b6c2c4b1498681b8422eb572a8b3a6aa3f0fc,COPY_FIT,,2286979,0.81,96,,,,HL-tagged,,,0.6,"HL Core realized $2,286,979, winrate 0.81, 96/108 active days, 174 fills/day, 19% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
9,0xb69eec8fea0081343c3b09e652ba1fa7dcf7033a,COPY_FIT,,2141084,0.67,95,,,,HL-tagged,,,0.6,"HL Core realized $2,141,084, winrate 0.67, 95/108 active days, 251 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
10,0xb798aef79972ce8f73d47b9ebbcda6bbb7ec4fbf,COPY_FIT,,2091112,0.84,79,,,,PM-owner HL-tagged individual,,yes,0.8,"HL Core realized $2,091,112, winrate 0.84, 79/108 active days, 103 fills/day, 15% spot. Cross-chain: eth 37 since 2021-10 + base 10 (2024). Veteran.",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
11,0x4cd80aa0ce4881eb8679eda1f6fbe3d89aec0f7f,COPY_FIT,,1870772,0.67,99,,,,PM-owner HL-tagged individual,,yes,0.8,"HL Core realized $1,870,772, winrate 0.67, 99/108 active days, 164 fills/day, 0% spot. Cross-chain: eth 54 swaps since 2022-05; base 1 (2024). Veteran.",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
12,0x9237794d8e5c6eb247b20f2e5edd9ad5f530d8ec,COPY_FIT,,1847037,0.93,95,,,,HL-tagged,,,0.6,"HL Core realized $1,847,037, winrate 0.93, 95/108 active days, 79 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
13,0xf62edeee17968d4c55d1c74936d2110333342f30,COPY_FIT,,1704530,0.82,102,,,,HL-tagged,,,0.6,"HL Core realized $1,704,530, winrate 0.82, 102/108 active days, 248 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
